sch,rdg,math,sci,sid,schid
8,15.294,30.045,9.654,5425967,54259
8,13.513,19.933,15.89,5425972,54259
8,19.503,33.128,15.506,5425973,54259
8,20.861,30.692,21.887,5425976,54259
8,20.861,38.689,21.713,5425977,54259
8,17.411,34.183,19.517,5425979,54259
8,20.275,26.792,11.995,5425980,54259
8,13.374,23.757,17.852,5425983,54259
8,19.359,36.628,23.284,5425985,54259
8,20.861,35.158,19.259,5425987,54259
8,13.96,24.016,18.212,5425988,54259
8,14.176,31.84,13.369,5425989,54259
8,16.629,33.299,21.674,5425990,54259
8,19.628,39.18,18.578,5425991,54259
8,13.077,35.326,17.425,5425992,54259
8,17.942,28.596,12.935,5425998,54259
9,20.275,34.772,21.735,5475204,54752
9,19.359,31.945,19.356,5475206,54752
9,15.124,35.186,14.054,5475208,54752
9,17.815,33.324,18.33,5475209,54752
9,17.26,34.192,15.289,5475210,54752
9,18.165,32.918,18.36,5475212,54752
9,19.628,36.983,17.136,5475213,54752
9,20.275,39.91,15.055,5475215,54752
9,17.253,32.149,19.79,5475216,54752
9,20.861,30.588,17.333,5475217,54752
9,8.902,28.236,13.015,5475219,54752
9,18.064,37.095,21.138,5475220,54752
9,5.64,21.028,10.08,5475223,54752
9,19.276,38.035,16.886,5475224,54752
9,17.233,36.98,15.027,5475226,54752
9,20.861,38.674,19.946,5475234,54752
9,18.972,34.037,16.582,5475235,54752
9,15.494,29.276,13.307,5475238,54752
9,12.824,30.019,14.304,5475239,54752
9,17.682,33.528,16.604,5475240,54752
9,12.404,36.333,9.252,5475241,54752
9,18.36,36.566,16.218,5475242,54752
9,18.372,36.486,18.493,5475244,54752
9,20.275,39.194,21.641,5475247,54752
9,20.275,36.455,19.457,5475253,54752
9,19.359,36.905,21.191,5475255,54752
9,20.861,39.91,23.076,5475259,54752
9,16.666,31.776,16.528,5475260,54752
9,18.204,34.292,13.902,5475261,54752
9,17.195,27.056,18.362,5475263,54752
9,20.861,33.479,17.267,5475264,54752
9,20.861,34.958,19.265,5475267,54752
9,18.084,32.828,17.373,5475268,54752
9,20.275,34.901,18.054,5475269,54752
9,17.223,20.891,14.4,5475270,54752
9,19.276,32.071,14.693,5475273,54752
9,17.404,29.335,20.437,5475274,54752
9,20.861,34.513,22.961,5475275,54752
9,20.861,35.359,23.089,5475276,54752
9,20.861,37.123,18.481,5475277,54752
9,20.861,37.121,19.461,5475278,54752
9,14,36.61,17.3,5475279,54752
9,19.343,31.55,20.916,5475280,54752
9,17.859,36.827,17.172,5475282,54752
9,15.742,35.505,19.907,5475283,54752
9,20.861,33.606,20.369,5475286,54752
9,16.012,34.572,13.699,5475288,54752
9,13.589,35.28,20.697,5475296,54752
9,20.275,22.623,11.762,5475297,54752
9,15.069,31.967,15.476,5475298,54752
9,17.937,39.91,20.448,5475299,54752
10,16.95,29.94,20.803,6282100,62821
10,20.861,35.466,19.842,6282101,62821
10,19.249,21.89,18.88,6282103,62821
10,17.77,35.505,22.769,6282104,62821
10,11.338,28.194,13.604,6282106,62821
10,17.069,30.356,21.901,6282107,62821
10,18.372,29.27,16.343,6282109,62821
10,14.67,27.872,11.347,6282111,62821
10,18.701,34.698,17.445,6282112,62821
10,14.139,30.52,19.786,6282113,62821
10,18.441,39.91,22.426,6282114,62821
10,15.165,27.21,6.792,6282116,62821
10,1.742,27.135,0.018,6282117,62821
10,13.819,36.987,18.34,6282118,62821
10,20.275,38.229,20.037,6282119,62821
10,14.487,34.894,14.177,6282120,62821
10,14.397,28.835,15.239,6282122,62821
10,17.682,32.3,20.395,6282125,62821
10,20.275,33.22,18.999,6282126,62821
10,20.275,31.189,18.119,6282127,62821
10,14.588,16.936,14.818,6282128,62821
10,20.861,32.346,16.815,6282129,62821
10,14.349,23.409,15.102,6282130,62821
10,16.02,36.621,19.801,6282131,62821
10,14.565,24.943,21.873,6282132,62821
10,20.275,37.752,23.804,6282134,62821
10,16.534,22.424,13.362,6282135,62821
10,19.276,36.177,21.12,6282139,62821
10,18.982,31.124,18.479,6282140,62821
10,-0.627,11.601,7.809,6282141,62821
10,18.372,28.671,22.135,6282142,62821
10,20.861,39.91,23.638,6282143,62821
10,6.092,31.9,10.365,6282144,62821
10,16.44,22.508,19.155,6282146,62821
10,20.861,32.329,20.364,6282147,62821
10,18.914,37.082,20.379,6282148,62821
10,15.278,27.553,15.711,6282149,62821
10,20.861,38.229,19.105,6282154,62821
10,18.988,24.239,23.923,6282156,62821
10,18.972,26.442,9.098,6282157,62821
10,12.276,26.324,13.24,6282160,62821
10,20.861,31.435,18.536,6282161,62821
10,10.593,31.59,13.813,6282163,62821
10,20.861,32.35,22.719,6282164,62821
10,19.343,38.689,23.284,6282165,62821
10,20.861,36.042,18.666,6282166,62821
10,20.861,28.723,18.999,6282168,62821
10,19.712,31.074,22.135,6282169,62821
10,19.359,33.095,21.772,6282170,62821
10,14.796,24.108,16.045,6282171,62821
10,16.396,31.711,17.215,6282172,62821
10,19.628,33.668,13.321,6282173,62821
10,9.523,19.241,18.75,6282175,62821
10,15.95,22.632,17.131,6282176,62821
10,17.218,33.501,21.607,6282177,62821
10,16.936,29.503,8.216,6282178,62821
10,20.861,25.008,22.051,6282180,62821
10,14.464,30.908,18.364,6282181,62821
10,19.33,35.25,17.49,6282182,62821
10,17.609,38.035,16.649,6282183,62821
10,20.275,38.107,13.021,6282186,62821
10,19.083,35.712,21.186,6282191,62821
10,10.947,19.127,19.108,6282192,62821
10,17.301,27.811,19.237,6282194,62821
10,13.012,20.987,10.648,6282195,62821
10,19.249,37.612,14.591,6282196,62821
10,16.429,36.357,21.298,6282199,62821
11,10.304,18.461,5.861,6875003,68750
11,17.844,21.564,17.772,6875004,68750
11,1.332,7.304,6.796,6875006,68750
11,20.861,34.994,22.719,6875007,68750
11,9.266,12.237,11.833,6875008,68750
11,16.806,12.687,9.09,6875009,68750
11,13.746,17.603,10.646,6875010,68750
11,17.414,29.831,15.45,6875011,68750
11,11.014,17.013,10.41,6875012,68750
11,20.275,33.481,15.586,6875014,68750
11,5.543,0.639,8.83,6875015,68750
11,20.861,37.078,19.532,6875017,68750
11,14.739,9.536,12.822,6875021,68750
11,10.829,7.923,12.41,6875023,68750
11,7.395,29.112,7.677,6875026,68750
11,16.66,21.453,12.325,6875029,68750
11,13.572,22.774,13.798,6875030,68750
11,1.53,11.394,4.464,6875032,68750
11,10.519,11.499,3.532,6875033,68750
11,15.164,29.988,9.148,6875035,68750
11,9.383,14.247,4.293,6875036,68750
11,11.788,8.775,6.406,6875037,68750
11,8.149,13.394,8.28,6875043,68750
11,10.797,4.51,8.421,6875044,68750
11,17.307,21.18,8.44,6875046,68750
11,17.054,26.275,13.468,6875047,68750
11,7.372,17.863,6.53,6875048,68750
11,8.288,0.832,10.754,6875052,68750
11,4.959,12.054,13.061,6875055,68750
11,15.224,12.129,1.225,6875058,68750
11,14.666,28.842,13.811,6875060,68750
11,3.039,5.361,4.491,6875062,68750
11,8.794,8.426,6.278,6875064,68750
11,5.997,4.756,8.987,6875066,68750
11,15.662,18.789,16.412,6875067,68750
11,17.934,19.594,16.778,6875068,68750
11,8.596,26.193,10.328,6875070,68750
11,18.287,25.907,17.335,6875071,68750
11,10.9,16.574,13.337,6875078,68750
11,12.341,24.443,9.304,6875080,68750
11,9.151,18.532,13.961,6875082,68750
11,9.727,12.911,11.123,6875085,68750
11,12.833,17.307,12.299,6875089,68750
11,14.408,13.396,11.766,6875092,68750
11,10.906,25.842,10.97,6875095,68750
11,3.117,-0.308,4.405,6875096,68750
11,8.618,18.324,9.685,6875097,68750
11,4.946,14.587,9.016,6875098,68750
12,19.124,34.679,17.124,7084001,70840
12,12.131,30.704,9.142,7084002,70840
12,18.732,35.465,11.45,7084006,70840
12,17.819,36.303,21.794,7084007,70840
12,13.884,26.349,8.727,7084010,70840
12,18.41,30.572,20.115,7084011,70840
12,15.897,34.005,17.645,7084014,70840
12,9.981,18.021,11.265,7084015,70840
12,6.47,26.974,23.9,7084018,70840
12,1.64,25.362,8.922,7084021,70840
12,8.04,29.236,13.922,7084025,70840
12,20.275,35.091,22.758,7084026,70840
12,-0.627,8.91,2.882,7084027,70840
12,14.889,32.851,13.302,7084031,70840
12,9.548,15.937,15.486,7084033,70840
12,17.51,36.721,16.749,7084034,70840
12,9.577,29.769,7.485,7084036,70840
12,17.909,14.054,8.991,7084037,70840
12,15.798,15.709,19.226,7084042,70840
12,16.835,31.648,17.994,7084044,70840
12,18.084,22.597,11.01,7084045,70840
12,11.321,16.804,3.777,7084046,70840
12,5.224,-1.422,6.998,7084049,70840
12,15.952,28.257,23.951,7084052,70840
12,8.838,16.337,9.228,7084054,70840
